id,question,option1,option2,option3,option4,correct_option,explanation
0,"Does the AWaRe classification apply to all medicines, not just antibiotics?",yes,No,,,2,AWaRe is specifically for antibiotics to guide their rational use.
1,Does the AWaRe classification prioritize the availability of antibiotics in the “Watch” category ? ,yes,No,,,2,Ensuring the availability of “Access” antibiotics is a key object to improve treatment of common infections and reduce the misuse of higher-risk antibiotics 
2,Is the target of AWaRe to have at least60% of national antibiotic consumption from the Access group ?,yes,No,,,1,The WHO set a target for countries to achieve at least 60% of their antibiotic consumption from the Access category to promote safer prescribing practices.
3,Is limiting the spread of multidrug-resistant infections a direct target of the watch category ?,yes,No,,,2,Reserve antibiotics are preserved for severe cases involving multidrug-resistant bacteria to prevent the spread of resistance.
4,"Should every ICU-admitted patient, regardless of their disease, receive prophylactic antibiotics?",yes,No,,,2,"Prophylactic antibiotics should only be administered in specific cases, such as for surgical prophylaxis."
5,What is the definition of multidrug resistance (MDR) in the context of infectious diseases?,The ability of microorganisms to resist the action of a single antibiotic due to inherent mechanisms,"The ability of  microorganisms to resist one antimicrobial agents from three different classes, making infections harder to treat",The phenomenon where bacteria naturally lack susceptibility to all antibiotics,,2,"MDR is The ability of  microorganisms to resist one antimicrobial agents from three different classes, making infections harder to treat"
6,Can Access antibiotics be used as first-line treatments for common infections?,yes,No,,,1,"Access antibiotics are safe, effective, and recommended as first-line options."
7,Does the overuse of Access antibiotics contribute significantly to antimicrobial resistance?,yes,No,,,1,Even Access antibiotics should be used in rational way to minimize resistance.
8,"A 5-year-old child has an ear infection (otitis media) and needs treatment.

""What is the most appropriate choice?""",Amoxicillin,Ciprofloxacin,Ceftriaxone,,1,Amoxicillin is an Access antibiotic and the first-line treatment for pediatric ear infections.
9,"A physician prescribes Ciprofloxacin for a 54 years old man with mild urinary tract infection (UTI).

""What is your advice?""",Approve the prescription,Recommend  Nitrofurantoin,Suggest Colistin,,2,"Nitrofurantoin is an Access antibiotic suitable for uncomplicated UTIs, reducing resistance risks
Ciprofloxacin is a Watch antibiotic and should not be used for mild infections.
Reserve antibiotics like Colistin are inappropriate for simple UTIs and should be preserved for critical cases."
10,"A 25-year-old patient has a mild skin infection (impetigo).

""What treatment would you recommend?""",Topical antibiotics like Mupirocin,Oral Clindamycin,Oral Ciprofloxacin,,1,"Mupirocin is an Access antibiotic suitable for mild skin infections, avoiding systemic antibiotic use.
Clindamycin for skin infections  should be preserved for MRSA infections not mild infections.
Ciprofloxacin, are not required for localized skin infections"
12,"A 50-year-old patient is scheduled for breast surgery and requires antibiotic prophylaxis.

""Which antibiotic is appropriate for prophylaxis?",Ceftriaxone,Meropenem ,Cefazolin,,3,"Antibiotics from the Access category, like Cefazolin, are suitable for surgical prophylaxis to prevent infection "
13,"A newborn shows signs of sepsis (fever, lethargy, and poor feeding).

""What antibiotic combination is appropriate?""",Ampicillin and Gentamicin,Levofloxacin,Colistin,,1,This Access combination is recommended for neonatal sepsis
